GC15G7E;Aula Magna ;LISBOA;lufi69;38.75245;-9.158867;PUZZLE;MICRO;3;1.5;AVAILABLE;2007/08/28;585;17;1;82
GC15RTQ;TF-06 Pedra Rolante;LEIRIA;trifaisca;39.5732;-8.851067;MULTI;REGULAR;1.5;2;AVAILABLE;2007/09/08;115;5;3;490
GC174W7;Alcaria Ruiva [ Mertola ];BEJA;alieri;37.700267;-7.76135;TRADITIONAL;REGULAR;1.5;3;AVAILABLE;2007/11/03;96;1;11;350
GCYHNG;TP02 - NO REINO DOS BURII [Pte da Barca];VIANA DO CASTELO;Fernando Rei;41.770867;-8.374217;TRADITIONAL;REGULAR;3.5;4;AVAILABLE;2006/09/27;99;3;20;720
GC15NXD;The Lagos 6+1: #5 - Sao Sebastiao;FARO;Team Caracache;37.101433;-8.677867;MULTI;SMALL;1.5;2;AVAILABLE;2007/09/04;187;2;3;-9999999
GC167C2;Ermidas-Sado [Santiago do Cacem];SETUBAL;MightyReek;38.002817;-8.414183;MULTI;SMALL;2;2;AVAILABLE;2007/09/25;95;19;5;-9999999
GCRE96;BH19 Scene from above [Portugal...];LISBOA;prodrive;39;-9.5;PUZZLE;SMALL;3;1.5;AVAILABLE;2005/11/23;173;13;9;0
GC16AY7;Funicular dos Guindais;PORTO;Macafe;41.143217;-8.608167;TRADITIONAL;SMALL;2;1.5;AVAILABLE;2007/09/02;2402;56;70;81
GCXF5A;Rota das Capelas;SETUBAL;papaleguas;38.473033;-8.999617;TRADITIONAL;SMALL;2;4;AVAILABLE;2006/08/01;300;20;4;-9999999
GC156RW;Praia da Angra da Cerva [Milfontes Powertrail #5];BEJA;vsergios;37.7518;-8.807383;TRADITIONAL;SMALL;1.5;2.5;AVAILABLE;2007/08/13;407;2;15;33
GC15QZW;POCO DA BARACEIRA;VIANA DO CASTELO;TheCelticSpirit;41.8223;-8.30045;MULTI;REGULAR;3;3;AVAILABLE;2007/08/21;76;3;33;-9999999
GCXW7V;Serra de Alvaiazere;LEIRIA;Paulo Martins;39.8271;-8.411533;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2006/08/21;244;3;3;605
GCTYDB;Ruinas do Pharol do Cabo Mondego;COIMBRA;rifkindsss;40.181233;-8.90505;MULTI;SMALL;2;2;AVAILABLE;2006/03/18;551;12;6;61
GCG349;Mouriscas [Setubal];SETUBAL;orebelo;38.529767;-8.807733;TRADITIONAL;REGULAR;2;2;DISABLED;2003/05/10;459;25;3;4
GC10H2Z;PROJECTO VG - S. GENS (SERRA D'OSSA);EVORA;Portelada;38.739467;-7.58385;TRADITIONAL;MICRO;1.5;4;AVAILABLE;2007/01/20;115;7;3;-9999999
GCMG50;Serra da Estrela - Aldeia Vicosa;GUARDA;meiolimao;40.5846;-7.327983;TRADITIONAL;SMALL;3;3;AVAILABLE;2004/12/30;111;9;1;717
GCXPYB;Cabeco da Neve [Tondela, Viseu];VISEU;almeidara;40.55315;-8.179083;TRADITIONAL;REGULAR;1.5;1.5;AVAILABLE;2006/08/14;366;12;8;975
GC12ZAB;Palacio de Monserrate [Sintra];LISBOA;All Happy;38.790033;-9.420033;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2007/05/18;405;6;30;214
GC1596Q;MOINHOS DE REI;BRAGA;eterlusitano;41.568867;-7.983783;TRADITIONAL;MICRO;2.5;2;AVAILABLE;2007/08/20;70;6;3;831
GCT9EM;Pomarao;BEJA;clcortez;37.55375;-7.525767;TRADITIONAL;REGULAR;3;2.5;AVAILABLE;2006/01/30;82;2;8;12
GC156T3;Parque de lazer da Palma [Arouca];AVEIRO;lamas;40.896833;-8.226317;TRADITIONAL;REGULAR;1;2;AVAILABLE;2007/08/16;66;1;1;630
GC88D3;Castelo dos Mouros;LISBOA;MAntunes;38.792783;-9.387783;TRADITIONAL;REGULAR;4;3.5;AVAILABLE;2002/09/01;706;184;123;388
GC16Y7B;Marina colours [Albufeira];FARO;alieri;37.080383;-8.261933;MULTI;SMALL;1.5;2.5;AVAILABLE;2007/10/24;887;17;43;3
GC14WVG;Castro da Carcoda - Andancas 2007 [S. Pedro Sul];VISEU;daraopedal;40.80375;-8.1208;TRADITIONAL;SMALL;2;3;AVAILABLE;2007/08/03;144;1;4;541
GC10ZNQ;DP31 - Serra Serrada;BRAGANCA;danieloliveira;41.968683;-6.7802;TRADITIONAL;REGULAR;2.5;1.5;AVAILABLE;2007/03/06;113;0;7;1256
GCR5C1;Sao Macario;VISEU;rifkindsss;40.8758;-8.061283;MULTI;REGULAR;2;2;AVAILABLE;2005/10/23;231;6;16;-9999999
GC126T1;Cavalo de Ferro [Entroncamento];SANTAREM;mtrevas;39.465467;-8.471167;TRADITIONAL;SMALL;3.5;2.5;AVAILABLE;2007/04/15;424;54;132;38
